trial,stim,intensity_target_left,intensity_target_right,intensity_context_left,intensity_context_right
0,checkerboard,0.9,0.443,1.0,1.0
1,checkerboard,0.671,0.671,1.0,1.0
2,checkerboard,0.443,0.671,0.0,1.0
3,checkerboard,0.557,0.786,1.0,0.0
4,checkerboard,0.557,0.329,0.0,1.0
5,checkerboard,0.671,0.9,1.0,0.0
6,checkerboard,0.671,0.329,1.0,0.0
7,checkerboard,0.329,0.443,0.0,1.0
8,checkerboard,0.671,0.329,1.0,1.0
9,checkerboard,0.671,0.9,0.0,0.0
10,checkerboard,0.443,0.329,1.0,0.0
11,checkerboard,0.671,0.214,0.0,0.0
12,checkerboard,0.329,0.9,1.0,0.0
13,checkerboard,0.443,0.1,1.0,0.0
14,checkerboard,0.9,0.329,1.0,1.0
15,checkerboard,0.671,0.671,0.0,1.0
16,checkerboard,0.443,0.786,1.0,0.0
17,checkerboard,0.1,0.557,0.0,0.0
18,checkerboard,0.557,0.9,1.0,0.0
19,checkerboard,0.786,0.214,1.0,1.0
20,checkerboard,0.329,0.786,0.0,1.0
21,checkerboard,0.1,0.557,1.0,1.0
22,checkerboard,0.9,0.671,1.0,0.0
23,checkerboard,0.1,0.786,1.0,0.0
24,checkerboard,0.1,0.9,0.0,1.0
25,checkerboard,0.214,0.214,0.0,0.0
26,checkerboard,0.671,0.214,1.0,1.0
27,checkerboard,0.214,0.786,0.0,1.0
28,checkerboard,0.214,0.671,1.0,1.0
29,checkerboard,0.9,0.9,1.0,1.0
30,checkerboard,0.9,0.786,0.0,1.0
31,checkerboard,0.214,0.9,0.0,0.0
32,checkerboard,0.671,0.443,1.0,1.0
33,checkerboard,0.329,0.329,0.0,0.0
34,checkerboard,0.9,0.443,0.0,0.0
35,checkerboard,0.214,0.443,1.0,1.0
36,checkerboard,0.443,0.9,1.0,1.0
37,checkerboard,0.557,0.214,1.0,1.0
38,checkerboard,0.214,0.9,1.0,0.0
39,checkerboard,0.9,0.671,1.0,1.0
40,checkerboard,0.443,0.786,1.0,1.0
41,checkerboard,0.786,0.1,0.0,1.0
42,checkerboard,0.214,0.786,1.0,0.0
43,checkerboard,0.214,0.557,0.0,0.0
44,checkerboard,0.443,0.671,1.0,1.0
45,checkerboard,0.671,0.786,1.0,0.0
46,checkerboard,0.9,0.9,1.0,0.0
47,checkerboard,0.443,0.443,1.0,1.0
48,checkerboard,0.214,0.9,0.0,1.0
49,checkerboard,0.443,0.557,0.0,0.0
50,checkerboard,0.214,0.443,0.0,1.0
51,checkerboard,0.329,0.786,1.0,0.0
52,checkerboard,0.557,0.443,1.0,0.0
53,checkerboard,0.557,0.557,0.0,0.0
54,checkerboard,0.9,0.557,0.0,0.0
55,checkerboard,0.214,0.329,0.0,1.0
56,checkerboard,0.557,0.329,1.0,1.0
57,checkerboard,0.557,0.786,0.0,0.0
58,checkerboard,0.9,0.9,0.0,0.0
59,checkerboard,0.557,0.329,1.0,0.0
60,checkerboard,0.1,0.214,0.0,0.0
61,checkerboard,0.329,0.1,1.0,1.0
62,checkerboard,0.1,0.329,1.0,0.0
63,checkerboard,0.557,0.329,0.0,0.0
64,checkerboard,0.1,0.443,1.0,0.0
65,checkerboard,0.9,0.329,0.0,0.0
66,checkerboard,0.329,0.214,1.0,0.0
67,checkerboard,0.671,0.786,0.0,1.0
68,checkerboard,0.786,0.786,1.0,1.0
69,checkerboard,0.671,0.557,0.0,1.0
70,checkerboard,0.671,0.443,0.0,0.0
71,checkerboard,0.786,0.329,1.0,0.0
72,checkerboard,0.443,0.9,1.0,0.0
73,checkerboard,0.329,0.329,1.0,1.0
74,checkerboard,0.557,0.214,0.0,0.0
75,checkerboard,0.9,0.443,1.0,0.0
76,checkerboard,0.9,0.1,0.0,0.0
77,checkerboard,0.1,0.9,1.0,1.0
78,checkerboard,0.671,0.214,1.0,0.0
79,checkerboard,0.786,0.1,1.0,0.0
80,checkerboard,0.786,0.443,0.0,0.0
81,checkerboard,0.1,0.671,1.0,1.0
82,checkerboard,0.557,0.671,1.0,0.0
83,checkerboard,0.9,0.786,1.0,1.0
84,checkerboard,0.214,0.214,1.0,0.0
85,checkerboard,0.557,0.214,0.0,1.0
86,checkerboard,0.786,0.9,1.0,1.0
87,checkerboard,0.557,0.9,1.0,1.0
88,checkerboard,0.1,0.329,0.0,1.0
89,checkerboard,0.329,0.214,0.0,1.0
90,checkerboard,0.443,0.329,0.0,0.0
91,checkerboard,0.1,0.214,0.0,1.0
92,checkerboard,0.671,0.671,0.0,0.0
93,checkerboard,0.671,0.443,1.0,0.0
94,checkerboard,0.786,0.214,0.0,0.0
95,checkerboard,0.9,0.1,1.0,0.0
96,checkerboard,0.329,0.786,1.0,1.0
97,checkerboard,0.214,0.557,1.0,1.0
98,checkerboard,0.443,0.443,1.0,0.0
99,checkerboard,0.443,0.443,0.0,0.0
100,checkerboard,0.671,0.786,0.0,0.0
101,checkerboard,0.557,0.1,0.0,0.0
102,checkerboard,0.557,0.443,0.0,1.0
103,checkerboard,0.786,0.557,0.0,0.0
104,checkerboard,0.443,0.443,0.0,1.0
105,checkerboard,0.329,0.557,1.0,0.0
106,checkerboard,0.557,0.671,0.0,1.0
107,checkerboard,0.214,0.671,0.0,1.0
108,checkerboard,0.786,0.786,1.0,0.0
109,checkerboard,0.1,0.329,1.0,1.0
110,checkerboard,0.671,0.329,0.0,1.0
111,checkerboard,0.557,0.671,0.0,0.0
112,checkerboard,0.1,0.1,1.0,0.0
113,checkerboard,0.671,0.443,0.0,1.0
114,checkerboard,0.1,0.1,0.0,1.0
115,checkerboard,0.329,0.671,1.0,0.0
116,checkerboard,0.786,0.557,1.0,0.0
117,checkerboard,0.443,0.557,1.0,0.0
118,checkerboard,0.557,0.214,1.0,0.0
119,checkerboard,0.1,0.786,1.0,1.0
120,checkerboard,0.443,0.329,1.0,1.0
121,checkerboard,0.443,0.671,0.0,0.0
122,checkerboard,0.443,0.1,1.0,1.0
123,checkerboard,0.443,0.786,0.0,0.0
124,checkerboard,0.329,0.9,1.0,1.0
125,checkerboard,0.329,0.1,0.0,1.0
126,checkerboard,0.786,0.214,0.0,1.0
127,checkerboard,0.557,0.557,1.0,1.0
128,checkerboard,0.443,0.671,1.0,0.0
129,checkerboard,0.214,0.786,0.0,0.0
130,checkerboard,0.9,0.671,0.0,0.0
131,checkerboard,0.557,0.786,1.0,1.0
132,checkerboard,0.443,0.1,0.0,0.0
133,checkerboard,0.671,0.786,1.0,1.0
134,checkerboard,0.443,0.214,1.0,1.0
135,checkerboard,0.1,0.329,0.0,0.0
136,checkerboard,0.786,0.786,0.0,1.0
137,checkerboard,0.786,0.671,0.0,0.0
138,checkerboard,0.1,0.214,1.0,1.0
139,checkerboard,0.9,0.329,1.0,0.0
140,checkerboard,0.1,0.443,0.0,0.0
141,checkerboard,0.9,0.329,0.0,1.0
142,checkerboard,0.329,0.214,1.0,1.0
143,checkerboard,0.443,0.214,0.0,0.0
144,checkerboard,0.214,0.557,1.0,0.0
145,checkerboard,0.786,0.329,1.0,1.0
146,checkerboard,0.1,0.443,0.0,1.0
147,checkerboard,0.443,0.9,0.0,1.0
148,checkerboard,0.1,0.557,0.0,1.0
149,checkerboard,0.214,0.786,1.0,1.0
150,checkerboard,0.786,0.214,1.0,0.0
151,checkerboard,0.1,0.786,0.0,1.0
152,checkerboard,0.786,0.1,1.0,1.0
153,checkerboard,0.329,0.9,0.0,1.0
154,checkerboard,0.214,0.329,1.0,1.0
155,checkerboard,0.9,0.671,0.0,1.0
156,checkerboard,0.786,0.9,0.0,0.0
157,checkerboard,0.1,0.9,0.0,0.0
158,checkerboard,0.9,0.1,1.0,1.0
159,checkerboard,0.214,0.443,1.0,0.0
160,checkerboard,0.557,0.9,0.0,1.0
161,checkerboard,0.329,0.671,0.0,1.0
162,checkerboard,0.214,0.1,0.0,0.0
163,checkerboard,0.1,0.1,1.0,1.0
164,checkerboard,0.329,0.9,0.0,0.0
165,checkerboard,0.671,0.9,1.0,1.0
166,checkerboard,0.786,0.557,0.0,1.0
167,checkerboard,0.786,0.443,1.0,0.0
168,checkerboard,0.557,0.443,0.0,0.0
169,checkerboard,0.671,0.1,0.0,1.0
170,checkerboard,0.671,0.214,0.0,1.0
171,checkerboard,0.329,0.786,0.0,0.0
172,checkerboard,0.786,0.786,0.0,0.0
173,checkerboard,0.214,0.1,1.0,0.0
174,checkerboard,0.557,0.1,1.0,1.0
175,checkerboard,0.1,0.671,1.0,0.0
176,checkerboard,0.214,0.1,0.0,1.0
177,checkerboard,0.329,0.671,1.0,1.0
178,checkerboard,0.786,0.443,0.0,1.0
179,checkerboard,0.329,0.557,1.0,1.0
180,checkerboard,0.329,0.557,0.0,1.0
181,checkerboard,0.671,0.329,0.0,0.0
182,checkerboard,0.786,0.443,1.0,1.0
183,checkerboard,0.329,0.443,0.0,0.0
184,checkerboard,0.671,0.9,0.0,1.0
185,checkerboard,0.1,0.671,0.0,1.0
186,checkerboard,0.557,0.1,0.0,1.0
187,checkerboard,0.557,0.9,0.0,0.0
188,checkerboard,0.671,0.557,0.0,0.0
189,checkerboard,0.1,0.1,0.0,0.0
190,checkerboard,0.1,0.786,0.0,0.0
191,checkerboard,0.1,0.214,1.0,0.0
192,checkerboard,0.9,0.1,0.0,1.0
193,checkerboard,0.671,0.671,1.0,0.0
194,checkerboard,0.443,0.329,0.0,1.0
195,checkerboard,0.786,0.671,1.0,0.0
196,checkerboard,0.443,0.557,1.0,1.0
197,checkerboard,0.786,0.1,0.0,0.0
198,checkerboard,0.214,0.9,1.0,1.0
199,checkerboard,0.9,0.214,0.0,1.0
200,checkerboard,0.9,0.557,1.0,0.0
201,checkerboard,0.9,0.9,0.0,1.0
202,checkerboard,0.786,0.329,0.0,1.0
203,checkerboard,0.9,0.557,0.0,1.0
204,checkerboard,0.786,0.671,0.0,1.0
205,checkerboard,0.1,0.9,1.0,0.0
206,checkerboard,0.786,0.671,1.0,1.0
207,checkerboard,0.671,0.1,0.0,0.0
208,checkerboard,0.671,0.557,1.0,1.0
209,checkerboard,0.9,0.214,1.0,1.0
210,checkerboard,0.9,0.786,1.0,0.0
211,checkerboard,0.557,0.671,1.0,1.0
212,checkerboard,0.214,0.671,0.0,0.0
213,checkerboard,0.214,0.329,0.0,0.0
214,checkerboard,0.1,0.671,0.0,0.0
215,checkerboard,0.214,0.214,0.0,1.0
216,checkerboard,0.214,0.557,0.0,1.0
217,checkerboard,0.557,0.557,0.0,1.0
218,checkerboard,0.557,0.786,0.0,1.0
