trial,stim,intensity_target_left,intensity_target_right,intensity_context_left,intensity_context_right
0,bullseye,0.278,0.367,0.0,1.0
1,bullseye,0.1,0.811,1.0,0.0
2,bullseye,0.9,0.633,0.0,0.0
3,bullseye,0.811,0.1,1.0,1.0
4,bullseye,0.278,0.367,1.0,0.0
5,bullseye,0.189,0.722,1.0,1.0
6,bullseye,0.189,0.544,1.0,1.0
7,bullseye,0.278,0.544,0.0,1.0
8,bullseye,0.811,0.456,0.0,1.0
9,bullseye,0.722,0.811,0.0,1.0
10,bullseye,0.278,0.811,1.0,0.0
11,bullseye,0.722,0.189,0.0,1.0
12,bullseye,0.633,0.1,0.0,1.0
13,bullseye,0.722,0.456,1.0,0.0
14,bullseye,0.633,0.1,0.0,0.0
15,bullseye,0.722,0.456,1.0,1.0
16,bullseye,0.278,0.633,0.0,0.0
17,bullseye,0.811,0.1,0.0,0.0
18,bullseye,0.367,0.544,1.0,0.0
19,bullseye,0.367,0.811,1.0,0.0
20,bullseye,0.811,0.722,0.0,1.0
21,bullseye,0.1,0.722,0.0,0.0
22,bullseye,0.722,0.367,0.0,1.0
23,bullseye,0.367,0.722,0.0,1.0
24,bullseye,0.633,0.278,0.0,1.0
25,bullseye,0.456,0.1,0.0,1.0
26,bullseye,0.544,0.1,0.0,0.0
27,bullseye,0.9,0.278,1.0,1.0
28,bullseye,0.9,0.544,1.0,0.0
29,bullseye,0.367,0.544,0.0,1.0
30,bullseye,0.456,0.9,1.0,0.0
31,bullseye,0.633,0.456,1.0,1.0
32,bullseye,0.544,0.633,0.0,1.0
33,bullseye,0.9,0.367,1.0,1.0
34,bullseye,0.456,0.367,0.0,1.0
35,bullseye,0.189,0.367,1.0,1.0
36,bullseye,0.367,0.722,1.0,1.0
37,bullseye,0.722,0.722,1.0,0.0
38,bullseye,0.633,0.367,1.0,0.0
39,bullseye,0.811,0.1,1.0,0.0
40,bullseye,0.189,0.811,0.0,1.0
41,bullseye,0.633,0.278,1.0,1.0
42,bullseye,0.9,0.456,1.0,1.0
43,bullseye,0.1,0.456,1.0,1.0
44,bullseye,0.722,0.278,0.0,1.0
45,bullseye,0.811,0.544,1.0,1.0
46,bullseye,0.278,0.1,1.0,0.0
47,bullseye,0.1,0.367,1.0,0.0
48,bullseye,0.9,0.1,1.0,0.0
49,bullseye,0.633,0.456,1.0,0.0
50,bullseye,0.189,0.633,1.0,0.0
