trial,l1,bg1,l2,bg2
0,0.1,0.0,0.214,1.0
1,0.9,0.0,0.329,1.0
2,0.1,1.0,0.9,1.0
3,0.1,1.0,0.671,1.0
4,0.1,1.0,0.9,0.0
5,0.557,1.0,0.1,1.0
6,0.1,1.0,0.786,0.0
7,0.9,0.0,0.786,0.0
8,0.671,0.0,0.1,0.0
9,0.671,1.0,0.443,1.0
10,0.557,0.0,0.786,0.0
11,0.214,1.0,0.557,0.0
12,0.443,1.0,0.443,0.0
13,0.671,0.0,0.329,1.0
14,0.9,1.0,0.557,1.0
15,0.9,0.0,0.1,0.0
16,0.557,0.0,0.329,1.0
17,0.329,0.0,0.671,0.0
18,0.329,0.0,0.9,0.0
19,0.329,0.0,0.329,1.0
20,0.671,0.0,0.557,1.0
21,0.671,0.0,0.214,0.0
22,0.671,1.0,0.329,1.0
23,0.443,0.0,0.9,0.0
24,0.443,1.0,0.329,1.0
25,0.214,1.0,0.1,1.0
26,0.214,1.0,0.329,1.0
27,0.1,1.0,0.557,0.0
28,0.786,1.0,0.786,0.0
29,0.557,1.0,0.1,0.0
30,0.1,0.0,0.329,0.0
31,0.1,0.0,0.443,0.0
32,0.214,1.0,0.9,1.0
33,0.9,0.0,0.214,1.0
34,0.671,0.0,0.443,0.0
35,0.671,0.0,0.786,0.0
36,0.786,1.0,0.443,0.0
37,0.671,1.0,0.557,1.0
38,0.671,1.0,0.214,0.0
39,0.329,0.0,0.786,1.0
40,0.671,1.0,0.1,0.0
41,0.786,1.0,0.214,0.0
42,0.329,1.0,0.9,1.0
43,0.443,1.0,0.329,0.0
44,0.671,0.0,0.786,1.0
45,0.329,0.0,0.443,0.0
46,0.557,1.0,0.786,0.0
47,0.9,0.0,0.214,0.0
48,0.671,1.0,0.214,1.0
49,0.443,0.0,0.9,1.0
50,0.786,1.0,0.1,0.0
51,0.9,0.0,0.9,1.0
52,0.1,0.0,0.1,1.0
53,0.214,0.0,0.329,0.0
54,0.671,0.0,0.671,1.0
55,0.557,0.0,0.557,1.0
56,0.9,0.0,0.671,1.0
57,0.786,1.0,0.9,1.0
58,0.557,0.0,0.9,0.0
59,0.557,0.0,0.1,0.0
60,0.786,1.0,0.9,0.0
61,0.443,0.0,0.1,1.0
62,0.1,1.0,0.214,0.0
63,0.329,1.0,0.786,1.0
64,0.9,1.0,0.1,0.0
65,0.214,0.0,0.329,1.0
66,0.443,1.0,0.1,0.0
67,0.443,0.0,0.671,1.0
68,0.1,0.0,0.329,1.0
69,0.786,1.0,0.443,1.0
70,0.443,0.0,0.214,0.0
71,0.214,0.0,0.1,0.0
72,0.557,0.0,0.671,0.0
73,0.786,0.0,0.443,0.0
74,0.557,0.0,0.671,1.0
75,0.557,1.0,0.443,0.0
76,0.443,0.0,0.329,1.0
77,0.557,1.0,0.214,0.0
78,0.443,1.0,0.671,0.0
79,0.214,1.0,0.786,0.0
80,0.786,1.0,0.1,1.0
81,0.9,1.0,0.329,0.0
82,0.329,1.0,0.557,1.0
83,0.214,0.0,0.214,1.0
84,0.9,1.0,0.214,0.0
85,0.786,0.0,0.671,1.0
86,0.214,1.0,0.329,0.0
87,0.329,0.0,0.671,1.0
88,0.329,1.0,0.1,1.0
89,0.786,0.0,0.329,1.0
90,0.671,1.0,0.9,1.0
91,0.557,0.0,0.9,1.0
92,0.214,1.0,0.671,0.0
93,0.214,0.0,0.557,0.0
94,0.329,0.0,0.557,0.0
95,0.9,0.0,0.557,1.0
96,0.9,0.0,0.671,0.0
97,0.671,0.0,0.9,1.0
98,0.443,0.0,0.557,0.0
99,0.443,1.0,0.9,1.0
100,0.9,0.0,0.443,1.0
101,0.557,0.0,0.786,1.0
102,0.443,1.0,0.786,0.0
103,0.1,0.0,0.786,0.0
104,0.786,1.0,0.214,1.0
105,0.214,1.0,0.443,0.0
106,0.329,0.0,0.557,1.0
107,0.1,1.0,0.443,1.0
108,0.214,1.0,0.557,1.0
109,0.9,1.0,0.786,0.0
110,0.214,0.0,0.443,1.0
111,0.671,0.0,0.1,1.0
112,0.214,0.0,0.786,0.0
113,0.329,0.0,0.786,0.0
114,0.786,1.0,0.671,1.0
115,0.443,1.0,0.214,1.0
116,0.329,0.0,0.1,1.0
117,0.557,1.0,0.786,1.0
118,0.443,1.0,0.557,0.0
119,0.557,1.0,0.443,1.0
